txHash,from,to,gas_used,value,chain_id,block_height,timestamp_day,timestamp_clock
0x2da5ba238bc7421ee727321dfa64b472a8e882fc5e538e94759206c3d811d302,0x65b33fe5918355ceecdc215251096d1b3af1099b,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,153715,0,1,21076820,30/10/2024,09:58:35
0x8b28d0e29de188c97ba0566bab1f1f72e469045ebedb7767bb91b98170d7e4e6,0x276bf434613bd8cb5c8b3282ec6445c9370e33fa,0x828ae1566824a9835acb6f565e1e9ea22bfb883a,158924,27,1,21076820,30/10/2024,09:58:35
0x6a2d950adbb98e0b35cfec11df6c4e9f59aac85014d99e3cc2339d7123adab49,0x129447ec7224bf35d172097aaeaabb31fbf3ff20,0x055c48651015cf5b21599a4ded8c402fdc718058,167727,50000000000000000,1,21076820,30/10/2024,09:58:35
0xf543b28a4679dbcb622dcb6566b6c0e2945d9b9345a4a2fadd4f4e9031e19dfd,0xcdd321a7cb3f0d92e08e434668b3433d574acd84,0x055c48651015cf5b21599a4ded8c402fdc718058,168767,100000000000000000,1,21076820,30/10/2024,09:58:35
0x64d6323ab11930bcccb37f0a8652865511e6c37314fa9717d1a3314a809a39a5,0x9692dd821f787cb492326de8473fc3560e7d247e,0x055c48651015cf5b21599a4ded8c402fdc718058,157757,0,1,21076820,30/10/2024,09:58:35
0xaf3bc11bb4af80ecc10a0b946aec2c01bdd84bbb263ef218ec5d70cf9f4cf044,0x8619634371778225d75f2498426b2dc0e8a2dee6,0x055c48651015cf5b21599a4ded8c402fdc718058,174694,0,1,21076820,30/10/2024,09:58:35
0x1aea11b37943db3b72856f97c23a557bbf310edb8fec6f792673269164cd35c7,0x24dfdb944aa50615d39e57020bb984316da8ab90,0x055c48651015cf5b21599a4ded8c402fdc718058,153293,80000000000000000,1,21076820,30/10/2024,09:58:35
0xe8b4a9631f45a90df2ed15c6bee4417921bb55e2c44f0045c4845e0d85a76bff,0x548feb42cb733e7e5656872e70c20f13149f839b,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,165699,1000000000000000000,1,21076820,30/10/2024,09:58:35
0x32b3738abbc3e4c5f2ae492c1889e25c77a8f3973e9d4ec6d12c71c6c06047d2,0xd66570edcdade24edda902b28f2172e9ef8395dd,0x5b93d80da1a359340d1f339fb574bdc56763f995,517233,125,1,21076820,30/10/2024,09:58:35
0xbf79e6b33d8e99f17228a1ccab52c975b6388ecc1a6b4181f3829e09a173bc8f,0x0ca5dc4c3b675b441229fc1d8e8b5ad912588e5e,0x51c72848c68a965f66fa7a88855f9f7784502a7f,139238,0,1,21076820,30/10/2024,09:58:35
0x53c2bbb48a817e38b1f40b96f383270de85ba381478d73adb3cf20288189eadd,0x3446a639928b77dcf390a556a3f51d3e77be5adb,0x5ddf30555ee9545c8982626b7e3b6f70e5c2635f,138521,1001000000000000000,1,21076820,30/10/2024,09:58:35
0x100f0b81911f76abeb1662f527bf7eb6647cc0fc8d1defe1a58c7467ab7092b5,0xde82c5539a255e94d7e9252a601a7421f40c1ac7,0x663dc15d3c1ac63ff12e45ab68fea3f0a883c251,290788,0,1,21076820,30/10/2024,09:58:35
0x7673149e35a4b1235fe2f4b441776e9208d6cb6c2421bab242a06e7d0019d48f,0x66cc9a0eb519e9e1de68f6cf0aa1aa1efe3723d5,0x06a9ab27c7e2255df1815e6cc0168d7755feb19a,105423,0,1,21076820,30/10/2024,09:58:35
0x093bf6018ca362df6d490007884cdf4b212995b8ddb650944c38f6e6811e1080,0x1c31fa8f1c27246bb74eac412b5671ca754e35db,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,175248,200000000000000000,1,21076820,30/10/2024,09:58:35
0xb4bce65f88b79d695ddbf5e88bb7a34dd2a36bdcebe787b9eacbb77362cfcb83,0x27f66acd3bbcebada75207a5bff9fe653ae0b7f9,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,135558,0,1,21076820,30/10/2024,09:58:35
0x5664104a17351b4443c70f5a8189ce4b9e5b162f0615895e806137debc88ffae,0xa4c21bc541f8312bb3c17e910d3a7fbee0d6f88f,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,153226,0,1,21076820,30/10/2024,09:58:35
0x241630fce20409ba2de9d18e362cb01b0ed5798763650b49e6f3b25b4a60346c,0x8967aca6dcb7fd4acaf3899bc85a98e8a54ba787,0x51c72848c68a965f66fa7a88855f9f7784502a7f,117236,0,1,21076820,30/10/2024,09:58:35
0x3fef2977fad4ca3e725de4adf2e05bfca5c7a4476dfdfadeeb9b18a363ca680e,0xd8037350394f2dd78f0f7ecb6965650ef4961c32,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,236826,136269252037784700,1,21076820,30/10/2024,09:58:35
0xf863fd68ad9232201b41fce1819e0a1d07b3d8a105274c5dfd4364cf67f99f37,0xa20d250f7ebe651387a118c59652800619b00b92,0x3e9c3dc19efe4271d1a65facfca55906045f7b08,46642,0,1,21076820,30/10/2024,09:58:35
0x56dbc5f0c9df8a11b1b3fa2944c6f5bface7fdf3f6379700b1a059517efb51d4,0xa20d250f7ebe651387a118c59652800619b00b92,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,171529,0,1,21076820,30/10/2024,09:58:35
0xe48fe2f97f4a9be003c0222b8cb266f2bd7db8775d448a38cc6632c400af9cac,0xf5e15c80fc6215715ef9fed4ad42256ebc359218,0x881d40237659c251811cec9c364ef91dc08d300c,206932,350000000000000000,1,21076820,30/10/2024,09:58:35
0x4a2e54bfcee7b40ca73fd1b1544e7f2b6954f1501ea9f48a8de60a57b5af635e,0xc310d15a83f87eeb2764e75793975a17c6751490,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,174114,100000000000000000,1,21076820,30/10/2024,09:58:35
0xcecd4962080b3549597a5550f4e6477e4fd082cf8a6b627e5f7e2409811f5b22,0x9881fef9cbba703fa3805e965efb8cd3c72d0058,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,191449,62300641213322584,1,21076820,30/10/2024,09:58:35
